,date,total_cases,new_cases,total_tests,new_tests,total_deaths,new_deaths,positivity_rate,num_cases_per_100k
0,2020-03-04,53,0,515,0,0,0,0.1029126213592233,0.13323278029160382
1,2020-03-05,53,0,515,0,0,0,0.1029126213592233,0.13323278029160382
2,2020-03-06,60,7,522,7,0,0,0.11494252873563218,0.15082956259426847
3,2020-03-07,69,9,531,9,0,0,0.12994350282485875,0.17345399698340874
4,2020-03-08,88,19,550,19,0,0,0.16,0.2212166918049271
5,2020-03-09,114,26,804,254,0,0,0.1417910447761194,0.2865761689291101
6,2020-03-10,133,19,823,19,0,0,0.16160388821385177,0.33433886375062843
7,2020-03-11,157,24,1073,250,0,0,0.14631873252562907,0.3946706887883359
8,2020-03-12,202,45,1118,45,4,4,0.1806797853309481,0.5077928607340372
9,2020-03-13,202,0,1118,0,4,0,0.1806797853309481,0.5077928607340372
10,2020-03-14,252,50,1168,50,5,1,0.21575342465753425,0.6334841628959277
11,2020-03-15,293,41,1209,41,5,0,0.24234904880066171,0.7365510306686778
12,2020-03-16,335,42,8316,7107,6,1,0.04028379028379028,0.8421317244846658
13,2020-03-17,483,148,8464,148,11,5,0.057065217391304345,1.2141779788838614
14,2020-03-18,611,128,8592,128,13,2,0.07111266294227188,1.5359477124183007
15,2020-03-19,924,313,9711,1119,18,5,0.09514983008958913,2.3227752639517347
16,2020-03-20,1063,139,11487,1776,20,2,0.092539392356577,2.67219708396179
17,2020-03-21,1279,216,12528,1041,24,4,0.10209131545338442,3.2151835093011565
18,2020-03-22,1536,257,12840,312,27,3,0.11962616822429907,3.861236802413273
19,2020-03-23,1733,197,14300,1460,27,0,0.12118881118881118,4.356460532931121
20,2020-03-24,2102,369,15554,1254,40,13,0.13514208563713515,5.284062342885872
21,2020-03-25,2355,253,18276,2722,53,13,0.1288575180564675,5.920060331825037
22,2020-03-26,3006,651,20386,2110,65,12,0.14745413519081724,7.5565610859728505
23,2020-03-27,3879,873,21259,873,78,13,0.18246389764335105,9.751131221719458
24,2020-03-28,4643,764,25192,3933,101,23,0.18430454112416642,11.671694318753143
25,2020-03-29,5708,1065,26257,1065,123,22,0.21738964847469247,14.348919054801408
26,2020-03-30,6447,739,26996,739,133,10,0.23881315750481552,16.206636500754147
27,2020-03-31,7482,1035,29254,2258,153,20,0.255759896082587,18.80844645550528
28,2020-04-01,8155,673,29927,673,171,18,0.27249640792595314,20.500251382604322
29,2020-04-02,9191,1036,33000,3073,203,32,0.2785151515151515,23.104575163398692
30,2020-04-03,10701,1510,35300,2300,237,34,0.3031444759206799,26.900452488687783
31,2020-04-04,12026,1325,113700,78400,276,39,0.10576956904133684,30.23127199597788
32,2020-04-05,13438,1412,116533,2833,319,43,0.1153149751572516,33.780794369029664
33,2020-04-06,14336,898,117431,898,343,24,0.1220802002878286,36.038210155857215
34,2020-04-07,15865,1529,131229,13798,374,31,0.12089553376159233,39.88185017596783
35,2020-04-08,16957,1092,144264,13035,442,68,0.11754145178284256,42.6269482151835
36,2020-04-09,18309,1352,163500,19236,492,50,0.1119816513761468,46.02564102564103
37,2020-04-10,19472,1163,164863,1363,541,49,0.11811018845950881,48.94922071392659
38,2020-04-11,20615,1143,173219,8356,609,68,0.1190111939221448,51.82252388134741
39,2020-04-12,21794,1179,190328,17109,651,42,0.11450758690261023,54.78632478632478
40,2020-04-13,22348,554,190882,554,687,36,0.11707756624511478,56.17898441427853
41,2020-04-14,23338,990,202208,11326,758,71,0.11541580946352271,58.66767219708396
42,2020-04-15,24424,1086,216486,14278,821,63,0.1128202285598145,61.397687280040216
43,2020-04-16,26182,1758,246400,29914,890,69,0.10625811688311688,65.81699346405229
44,2020-04-17,27528,1346,251614,5214,985,95,0.1094056769496133,69.20060331825037
45,2020-04-18,28963,1435,259666,8052,1072,87,0.11153943912564603,72.80794369029664
46,2020-04-19,30333,1370,280900,21234,1166,94,0.10798504805980776,76.25188536953243
47,2020-04-20,30978,645,290500,9600,1208,42,0.1066368330464716,77.87330316742081
48,2020-04-21,33261,2283,300100,9600,1268,60,0.1108330556481173,83.61236802413272
49,2020-04-22,35396,2135,465327,165227,1354,86,0.07606693787379627,88.97938662644545
50,2020-04-23,37369,1973,482097,16770,1469,115,0.07751344646409332,93.93916540975364
51,2020-04-24,39254,1885,494173,12076,1562,93,0.07943372057963506,98.67772750125692
52,2020-04-25,41137,1883,506035,11862,1651,89,0.0812927959528491,103.41126194067371
53,2020-04-26,42164,1027,526084,20049,1710,59,0.08014689669330373,105.99296128707893
54,2020-04-27,43464,1300,553409,27325,1755,45,0.07853865766548791,109.2609351432881
55,2020-04-28,45031,1567,577608,24199,1809,54,0.07796117782302184,113.20010055304174
56,2020-04-29,46500,1469,603139,25531,1887,78,0.07709665599472096,116.89291101055807
57,2020-04-30,48917,2417,625337,22198,1982,95,0.0782250210686398,122.96882855706386
58,2020-05-01,50442,1525,654985,29648,2073,91,0.07701245066680916,126.8024132730015
59,2020-05-02,52197,1755,685048,30063,2171,98,0.07619466081208907,131.21417797888387
60,2020-05-03,53616,1419,715751,30703,2215,44,0.07490873222671013,134.78129713423832
61,2020-05-04,54937,1321,747874,32123,2254,39,0.07345756103300824,138.10206133735545
62,2020-05-05,56212,1275,779902,32028,2317,63,0.07207572233434457,141.30718954248366
63,2020-05-06,58815,2603,809036,29134,2412,95,0.0726976302661439,147.85067873303166
64,2020-05-07,60614,1799,842874,33838,2504,92,0.07191347698469759,152.3730517848165
65,2020-05-08,62512,1898,875272,32398,2585,81,0.07142008427094663,157.14429361488186
66,2020-05-09,64561,2049,912570,37298,2678,93,0.07074635370437336,162.2951231774761
67,2020-05-10,66680,2119,955664,43094,2745,67,0.0697734768705319,167.62192056309704
68,2020-05-11,67939,1259,991897,36233,2770,25,0.0684940069382204,170.78682755153343
69,2020-05-12,69382,1443,1033370,41473,2847,77,0.06714148852782643,174.4142785319256
70,2020-05-13,71141,1759,1065592,32222,2934,87,0.06676195016479103,178.8360985419809
71,2020-05-14,73164,2023,1104651,39059,3032,98,0.0662326834448165,183.921568627451
72,2020-05-15,74936,1772,1133906,29255,3108,76,0.06608660682631541,188.37606837606836
73,2020-05-16,76793,1857,1179126,45220,3204,96,0.06512705173153675,193.04424333836099
74,2020-05-17,78839,2046,1235243,56117,3261,57,0.06382468874545333,198.18753142282554
75,2020-05-18,80430,1591,1292672,57429,3302,41,0.062219959897019506,202.18702865761688
76,2020-05-19,81795,1365,1339316,46644,3334,32,0.0610722189535554,205.6184012066365
77,2020-05-20,84057,2262,1380120,40804,3436,102,0.06090557342839753,211.3046757164404
78,2020-05-21,86197,2140,1421127,41007,3542,106,0.060653973923512815,216.68426344896935
79,2020-05-22,88444,2247,1466773,45646,3630,88,0.06029835564194323,222.3328305681247
80,2020-05-23,90631,2187,1515306,48533,3708,78,0.059810361735517445,227.83056812468575
81,2020-05-24,92710,2079,1582745,67439,3774,66,0.05857544961443568,233.05681246857716
82,2020-05-25,94558,1848,1644102,61357,3795,21,0.05751346327660936,237.70236299648062
83,2020-05-26,96733,2175,1696396,52294,3814,19,0.05702265272966925,243.16993464052285
84,2020-05-27,98980,2247,1736894,40498,3884,70,0.05698678215250902,248.81850175967824
85,2020-05-28,101697,2717,1790559,53665,3973,89,0.056796229557361695,255.64856711915536
86,2020-05-29,103886,2189,1835478,44919,4068,95,0.05659888050960023,261.1513323278029
87,2020-05-30,106878,2992,1888595,53117,4156,88,0.05659127552492726,268.67269984917044
88,2020-05-31,110583,3705,1944848,56253,4213,57,0.05685945636882676,277.9864253393665
89,2020-06-01,113006,2423,2012583,67735,4251,38,0.05614973394886074,284.07742584213173
90,2020-06-02,115310,2304,2071591,59008,4286,35,0.05566253184146871,289.8692810457516
91,2020-06-03,117687,2377,2131294,59703,4361,75,0.05521856674865129,295.8446455505279
92,2020-06-04,119807,2120,2182671,51377,4422,61,0.054890086504104374,301.17395676219206
93,2020-06-05,122901,3094,2238463,55792,4485,63,0.05490419095602652,308.95173453996983
94,2020-06-06,126016,3115,2308300,69837,4559,74,0.054592557293246115,316.7823026646556
95,2020-06-07,128812,2796,2362218,53918,4626,67,0.0545301068741327,323.81096028154855
96,2020-06-08,131319,2507,2431190,68972,4653,27,0.05401428929865621,330.1131221719457
97,2020-06-09,133489,2170,2486245,55055,4697,44,0.05369100792560669,335.56812468577175
98,2020-06-10,136191,2702,2540798,54553,4776,79,0.053601663729269305,342.3604826546003
99,2020-06-11,139281,3090,2597647,56849,4881,105,0.05361813980113541,350.12820512820514
100,2020-06-12,141983,2702,2662258,64611,4943,62,0.05333179579139212,356.9205630970337
101,2020-06-13,145643,3660,2724393,62135,4989,46,0.053458880565322255,366.12116641528405
102,2020-06-14,148855,3212,2801996,77603,5063,74,0.05312462972823659,374.1955756661639
103,2020-06-15,151452,2597,2868182,66186,5089,26,0.0528041804878491,380.7239819004525
104,2020-06-16,153560,2108,2937755,69573,5121,32,0.052271207095213865,386.0231271995978
105,2020-06-17,157015,3455,2997988,60233,5208,87,0.05237345846614463,394.70839617898446
106,2020-06-18,161099,4084,3074530,76542,5290,82,0.052397927488103874,404.9748617395676
107,2020-06-19,165416,4317,3155702,81172,5360,70,0.05241813073604542,415.82704876822527
108,2020-06-20,169309,3893,3234412,78710,5424,64,0.05234614514168263,425.61337355455
109,2020-06-21,173824,4515,3319256,84844,5495,71,0.05236836206668,436.9632981397687
110,2020-06-22,178054,4230,3411686,92430,5515,20,0.05218944533582516,447.5967823026647
111,2020-06-23,183073,5019,3496929,85243,5580,65,0.05235250701401144,460.2136752136752
112,2020-06-24,190222,7149,3592899,95970,5632,52,0.052943876240328494,478.18501759678225
113,2020-06-25,195571,5349,3694345,101446,5733,101,0.05293793622414799,491.63147310206136
114,2020-06-26,200461,4890,3771314,76969,5812,79,0.05315415263751573,503.92408245349424
115,2020-06-27,206433,5972,3862310,90996,5872,60,0.05344806605373468,518.9366515837104
116,2020-06-28,211243,4810,3955952,93642,5905,33,0.0533987773360243,531.0281548516842
117,2020-06-29,219252,8009,4061692,105740,5936,31,0.05398045937505847,551.1613876319758
118,2020-06-30,228732,9480,4167139,105447,5980,44,0.05488945773107161,574.9924585218703
119,2020-07-01,236139,7407,4254176,87037,6090,110,0.05550757655536583,593.6123680241327
120,2020-07-02,242547,6408,4338718,84542,6163,73,0.05590291878845318,609.7209653092006
121,2020-07-03,248235,5688,4448176,109458,6263,100,0.055806020265385184,624.0196078431372
122,2020-07-04,257388,9153,4553031,104855,6313,50,0.0565311327772642,647.0286576168929
123,2020-07-05,265985,8597,4680138,127107,6331,18,0.056832725872613156,668.6400201106084
124,2020-07-06,271684,5699,4793353,113215,6337,6,0.05667932238664668,682.9663147310206
125,2020-07-07,277774,6090,4896370,103017,6448,111,0.05673059838206671,698.2755153343388
126,2020-07-08,289468,11694,4996175,99805,6562,114,0.057937922510720705,727.6721970839618
127,2020-07-09,296499,7031,5078434,82259,6711,149,0.058383942766608764,745.3469079939669
128,2020-07-10,304297,7798,5175737,97303,6851,140,0.05879297962782885,764.9497234791352
129,2020-07-11,312344,8047,5275695,99958,6945,94,0.05920433232019667,785.1784816490698
130,2020-07-12,320804,8460,5406599,130904,7017,72,0.059335637801138943,806.4454499748618
131,2020-07-13,329162,8358,5544365,137766,7040,23,0.059368746466006476,827.4560080442434
132,2020-07-14,336508,7346,5674955,130590,7087,47,0.05929703407339794,845.9225741578683
133,2020-07-15,347634,11126,5793276,118321,7227,140,0.06000646266464778,873.8914027149322
134,2020-07-16,356178,8544,5915508,122232,7345,118,0.06021088974945178,895.3695324283559
135,2020-07-17,366164,9986,6044099,128591,7475,130,0.06058206525075119,920.4725992961287
136,2020-07-18,375363,9199,6167218,123119,7595,120,0.060864234084152695,943.5972850678733
137,2020-07-19,384692,9329,6286852,119634,7685,90,0.06118992462364312,967.0487682252389
138,2020-07-20,391538,6846,6414321,127469,7694,9,0.06104122322534217,984.2584213172448
139,2020-07-21,400769,9231,6536932,122611,7755,61,0.06130842419654969,1007.463549522373
140,2020-07-22,413576,12807,6664419,127487,7870,115,0.06205732262632346,1039.6581196581196
141,2020-07-23,425616,12040,6778304,113885,8027,157,0.06279092823219495,1069.924585218703
142,2020-07-24,435334,9718,6915876,137572,8186,159,0.06294705110386595,1094.3539467068879
143,2020-07-25,445400,10066,7047355,131479,8337,151,0.06320101655159986,1119.6581196581196
144,2020-07-26,453659,8259,7168139,120784,8416,79,0.06328825375735599,1140.4198089492209
145,2020-07-27,460550,6891,7296578,128439,8445,29,0.06311862903404857,1157.7425842131724
146,2020-07-28,466550,6000,7417866,121288,8518,73,0.06289544728901816,1172.8255404725992
147,2020-07-29,475305,8755,7517466,99600,8715,197,0.06322675752707095,1194.8340874811463
148,2020-07-30,485502,10197,7633840,116374,8909,194,0.06359866070025047,1220.4675716440422
149,2020-07-31,493588,8086,7811041,177201,9005,96,0.06319106505778167,1240.7943690296631
150,2020-08-01,500130,6542,7886587,75546,9224,219,0.06341526442300072,1257.2398190045249
151,2020-08-02,509162,9032,8035975,149388,9356,132,0.06336032653162808,1279.944695827049
152,2020-08-03,514901,5739,8184696,148721,9388,32,0.06291021682418016,1294.3715434891906
153,2020-08-04,519427,4526,8305713,121017,9501,113,0.06253852017280154,1305.7491201608848
154,2020-08-05,524722,5295,8409400,103687,9703,202,0.062397079458700974,1319.0598290598289
155,2020-08-06,529980,5258,8500463,91063,9869,166,0.062347192147063045,1332.2775263951735
156,2020-08-07,538416,8436,8596882,96419,10011,142,0.0626292183607964,1353.4841628959275
157,2020-08-08,545787,7371,8707527,110645,10189,178,0.06267990900286614,1372.0135746606336
158,2020-08-09,554160,8373,8826119,118592,10293,104,0.06278637303666539,1393.0618401206636
159,2020-08-10,561911,7751,8998353,172234,10359,66,0.062445983170475755,1412.5465057817999
160,2020-08-11,574411,12500,9186279,187926,10468,109,0.06252923517781248,1443.9693313222726
161,2020-08-12,586056,11645,9303467,117188,10648,180,0.06299329056576436,1473.2428355957768
162,2020-08-13,593141,7085,9445493,142026,10808,160,0.06279619285091842,1491.0532931121168
163,2020-08-14,601075,7934,9556598,111105,10996,188,0.06289633612295924,1510.9979889391655
164,2020-08-15,613689,12614,9681111,124513,11147,151,0.0633903484837639,1542.707390648567
165,2020-08-16,621562,7873,9798135,117024,11224,77,0.06343676628256295,1562.4987430869785
166,2020-08-17,628031,6469,9933780,135645,11242,18,0.06322175445802102,1578.7606837606838
167,2020-08-18,632667,4636,10049039,115259,11342,100,0.06295796045771143,1590.4147812971344
168,2020-08-19,638831,6164,10140683,91644,11523,181,0.0629968415342438,1605.9100050276522
169,2020-08-20,644751,5920,10227966,87283,11686,163,0.06303804686093012,1620.79185520362
170,2020-08-21,650336,5585,10329372,101406,11821,135,0.06295987790932499,1634.831573655103
171,2020-08-22,656892,6556,10436352,106980,11988,167,0.06294268342041356,1651.3122171945702
172,2020-08-23,663669,6777,10541031,104679,12134,146,0.06296053962842914,1668.3484162895927
173,2020-08-24,668615,4946,10652487,111456,12152,18,0.06276609396472392,1680.781799899447
174,2020-08-25,673095,4480,10762506,110019,12257,105,0.06254073168460951,1692.0437405731525
175,2020-08-26,679099,6004,10832757,70251,12407,150,0.06268939661436142,1707.1367521367522
176,2020-08-27,683529,4430,10918415,85658,12550,143,0.06260331742290433,1718.2730015082957
177,2020-08-28,688858,5329,11010637,92222,12690,140,0.06256295616684121,1731.66918049271
178,2020-08-29,693839,4981,11109630,98993,12834,144,0.062453835096218324,1744.1905480140774
179,2020-08-30,699909,6070,11231829,122199,12905,71,0.06231478417272913,1759.449472096531
180,2020-08-31,704085,4176,11373305,141476,12933,28,0.06190680721215161,1769.947209653092
181,2020-09-01,707797,3712,11470696,97391,13018,85,0.06170479977849644,1779.2785319255909
182,2020-09-02,712052,4255,11580370,109674,13163,145,0.06148784537972448,1789.9748617395676
183,2020-09-03,717177,5125,11663924,83554,13327,164,0.06148676894671124,1802.8582202111613
184,2020-09-04,722283,5106,11796970,133046,13490,163,0.06122614535766387,1815.6938159879337
185,2020-09-05,727239,4956,11916323,119353,13643,153,0.06102880897068668,1828.15233785822
186,2020-09-06,732144,4905,12047191,130868,13709,66,0.06077300509305447,1840.4826546003017
187,2020-09-07,735235,3091,12158292,111101,13726,17,0.06047189851995659,1848.2528908999498
188,2020-09-08,737911,2676,12267948,109656,13758,32,0.060149505035397934,1854.979889391654
189,2020-09-09,739527,1616,12343797,75849,13841,83,0.059910819985130995,1859.0422322775264
190,2020-09-10,742865,3338,12389991,46194,13978,137,0.05995686356834319,1867.4333836098542
191,2020-09-11,746191,3326,12451660,61669,14089,111,0.059927029809679996,1875.7943690296631
192,2020-09-12,750298,4107,12556967,105307,14251,162,0.05975153076375848,1886.1186525892408
193,2020-09-13,754923,4625,12690016,133049,14329,78,0.05948952310225614,1897.7450980392157
194,2020-09-14,757778,2855,12806189,116173,14385,56,0.059172795278907724,1904.9220713926597
195,2020-09-15,760013,2235,12928170,121981,14451,66,0.0587873612429292,1910.540472599296
196,2020-09-16,762963,2950,13000522,72352,14615,164,0.05868710502547513,1917.9562594268475
197,2020-09-17,766201,3238,13080037,79515,14721,106,0.058577892401986326,1926.0960281548519
198,2020-09-18,769831,3630,13177186,97149,14812,91,0.058421502132549395,1935.221216691805
199,2020-09-19,774135,4304,13343886,166700,14912,100,0.05801420965376952,1946.0407239819003
200,2020-09-20,778400,4265,13523158,179272,14987,75,0.05756051951770437,1956.76219205631
201,2020-09-21,781694,3294,13672782,149624,15018,31,0.0571715397788102,1965.042735042735
202,2020-09-22,784324,2630,13804055,131273,15071,53,0.05681837691895606,1971.6540975364505
203,2020-09-23,787470,3146,13879423,75368,15204,133,0.056736508426899306,1979.5625942684767
